num_trips_bike_day,manufacturing,delivery ,use,operation,infastructure,total
2.96107699,50.44660168,1.559627695,8.884251574,0,23.93870221,84.82918315
2.96136271,50.44660168,1.559627695,8.884251574,0,23.93870221,84.82918315
2.96141033,50.44660168,1.559627695,8.884251574,0,23.93870221,84.82918315
2.96145795,50.44660168,1.559627695,8.884251574,0,23.93870221,84.82918315
2.96150557,50.44660168,1.559627695,8.884251574,0,23.93870221,84.82918315
3.55260667,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
3.55306382,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
3.55312096,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
3.55317811,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
3.55329239,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
3.55334954,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
3.55346382,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
3.55352097,41.95154052,1.288388096,8.884251574,0,23.93870221,76.06288239
4.4379726,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.43925833,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.44025834,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.44040119,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.44061548,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.44075834,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.4409012,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.44097263,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
4.44104406,34.16440112,1.039751797,8.884251574,0,23.93870221,68.02710669
5.85824859,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
5.91272532,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
5.91567773,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
5.91596345,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
5.91605869,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
5.91615393,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
5.91663013,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
5.91758252,26.02330084,0.779813848,8.884251574,0,23.93870221,59.62606847
7.76636276,20.16170864,0.592658524,8.884251574,0,23.93870221,53.57732094
8.65451443,18.17295414,0.529159397,8.884251574,0,23.93870221,51.52506732
8.78240856,18.02629083,0.52447657,8.884251574,0,23.93870221,51.37372118
8.81365887,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
8.82165895,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
8.82537327,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
8.82751615,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
8.827659,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
8.84208772,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
8.84280201,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
8.84380202,17.88220056,0.519875898,8.884251574,0,23.93870221,51.22503024
9.26601029,17.06809053,0.493882104,8.884251574,0,23.93870221,50.38492641
9.70438199,16.44936691,0.474126819,8.884251574,0,23.93870221,49.74644751
9.92581276,16.10133487,0.463014472,8.884251574,0,23.93870221,49.38730312
10.199625,15.66190048,0.448983731,8.884251574,0,23.93870221,48.93383799
10.36813857,15.45202137,0.442282481,8.884251574,0,23.93870221,48.71725763
10.83314319,14.85836331,0.423327517,8.884251574,0,23.93870221,48.10464461
10.83475034,14.85836331,0.423327517,8.884251574,0,23.93870221,48.10464461
10.83760752,14.85836331,0.423327517,8.884251574,0,23.93870221,48.10464461
10.8443933,14.85836331,0.423327517,8.884251574,0,23.93870221,48.10464461
10.8563577,14.85836331,0.423327517,8.884251574,0,23.93870221,48.10464461
10.97939464,14.6716258,0.417365158,8.884251574,0,23.93870221,47.91194474
11.00082342,14.6716258,0.417365158,8.884251574,0,23.93870221,47.91194474
11.00314487,14.6716258,0.417365158,8.884251574,0,23.93870221,47.91194474
11.43562365,14.14169503,0.400444949,8.884251574,0,23.93870221,47.36509375
12.13889594,13.42274435,0.377489506,8.884251574,0,23.93870221,46.62318764
12.15358996,13.42274435,0.377489506,8.884251574,0,23.93870221,46.62318764
12.16828398,13.42274435,0.377489506,8.884251574,0,23.93870221,46.62318764
12.18869235,13.42274435,0.377489506,8.884251574,0,23.93870221,46.62318764
12.21216197,13.34791686,0.375100332,8.884251574,0,23.93870221,46.54597097
12.45563377,13.12901158,0.368110885,8.884251574,0,23.93870221,46.32007624
12.49849134,13.12901158,0.368110885,8.884251574,0,23.93870221,46.32007624
12.50808327,13.05784484,0.365838595,8.884251574,0,23.93870221,46.24663721
12.68274487,12.91811502,0.361377149,8.884251574,0,23.93870221,46.10244595
13.77156519,12.0279262,0.332954227,8.884251574,0,23.93870221,45.18383421
13.77227949,12.0279262,0.332954227,8.884251574,0,23.93870221,45.18383421
13.81418466,12.0279262,0.332954227,8.884251574,0,23.93870221,45.18383421
13.83513725,11.96966963,0.331094148,8.884251574,0,23.93870221,45.12371756
13.85561365,11.96966963,0.331094148,8.884251574,0,23.93870221,45.12371756
13.94642407,11.91206035,0.329254736,8.884251574,0,23.93870221,45.06426887
14.26871298,11.68788513,0.322097024,8.884251574,0,23.93870221,44.83293593
14.39657139,11.57941325,0.318633615,8.884251574,0,23.93870221,44.72100064
14.44800048,11.5260474,0.316929692,8.884251574,0,23.93870221,44.66593087
15.88701475,10.65449202,0.289101719,8.884251574,0,23.93870221,43.76654752
15.90730067,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
15.91844364,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
15.92215796,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
15.96930128,10.61053817,0.287698313,8.884251574,0,23.93870221,43.72119027
16.72159446,10.19338363,0.274378946,8.884251574,0,23.93870221,43.29071635
16.88788182,10.11454525,0.271861708,8.884251574,0,23.93870221,43.20936073
16.9693112,10.07566604,0.270620331,8.884251574,0,23.93870221,43.16924015
17.30207641,9.88647707,0.264579698,8.884251574,0,23.93870221,42.97401055
21.3406879,8.325256753,0.214731349,8.884251574,0,23.93870221,41.36294188
21.39164079,8.325256753,0.214731349,8.884251574,0,23.93870221,41.36294188
21.42449826,8.300977847,0.213956146,8.884251574,0,23.93870221,41.33788777
21.47211778,8.300977847,0.213956146,8.884251574,0,23.93870221,41.33788777
21.53307076,8.27687361,0.21318652,8.884251574,0,23.93870221,41.31301391
23.94738043,7.607025449,0.191798875,8.884251574,0,23.93870221,40.6217781
24.96881914,7.346659021,0.183485611,8.884251574,0,23.93870221,40.35309841
25.31644163,7.276363498,0.181241139,8.884251574,0,23.93870221,40.28055842