City,Car_Motorcycle,Taxi,PublicTransit,Walking,Own_Bike,New_Trip
Birsbane,0.21,0.03,0.43,0.23,0.08,0.01
Melbourne,0.19,0.02,0.41,0.27,0.09,0.01
Hangzhou,0.08,0.05,0.59,0.19,0.1,
Nanjing,0.15,0.04,0.19,0.47,0.15,
Barcelona,0.1,,0.51,0.26,0.06,
Dublin,0.03,,0.31,0.54,0.12,
Dublin,0.2,,0.35,0.46,,
Lyon,0.07,,0.5,0.37,0.04,0.02
London,0.01,0.04,0.61,0.29,0.05,0.01
London,0.02,0.04,0.58,0.26,0.08,0.04
UK,0.23,0.03,0.22,0.31,0.09,0.1
UK,0.13,0.03,0.28,0.33,0.12,0.1
UK,0.1,0.04,0.27,0.42,0.07,0.07
Paris,0.08,0.05,0.65,0.2,,
Minnesota,0.19,0.03,0.2,0.38,0.08,0.09
Montreal,0.02,0.08,0.33,0.25,0.28,0.04
Montreal,0.08,,0.5,0.18,0.24,
Montreal,0.1,0.06,0.41,0.21,0.22,
Washington,0.07,0.06,0.45,0.31,0.06,0.04